iter	Passed	Remaining
376	1165	1926
377	1168	1922
378	1171	1919
379	1174	1916
380	1177	1913
381	1180	1909
382	1183	1906
383	1186	1903
384	1189	1900
385	1192	1897
386	1195	1893
387	1198	1890
388	1201	1887
389	1204	1884
390	1207	1880
391	1210	1877
392	1213	1874
393	1216	1870
394	1219	1867
395	1222	1864
396	1225	1861
397	1228	1858
398	1231	1854
399	1234	1852
400	1237	1849
401	1240	1845
402	1244	1843
403	1247	1839
404	1250	1836
405	1253	1833
406	1256	1830
407	1259	1827
408	1262	1823
409	1265	1820
410	1268	1817
411	1271	1814
412	1274	1811
413	1277	1808
414	1280	1804
415	1283	1801
416	1286	1798
417	1289	1795
418	1292	1791
419	1295	1788
420	1298	1785
421	1301	1782
422	1304	1779
423	1307	1776
424	1310	1772
425	1313	1769
426	1316	1766
427	1319	1763
428	1322	1760
429	1325	1757
430	1329	1755
431	1333	1753
432	1336	1750
433	1339	1747
434	1343	1744
435	1346	1741
436	1349	1738
437	1352	1735
438	1355	1731
439	1358	1728
440	1361	1725
441	1364	1722
442	1367	1719
443	1370	1716
444	1373	1713
445	1376	1709
446	1379	1706
447	1382	1703
448	1385	1700
449	1388	1696
450	1391	1693
451	1394	1690
452	1397	1687
453	1400	1683
454	1403	1680
455	1406	1677
456	1409	1674
457	1412	1671
458	1415	1667
459	1418	1664
460	1421	1661
461	1424	1658
462	1427	1655
463	1430	1652
464	1433	1648
465	1436	1645
466	1439	1642
467	1442	1639
468	1445	1636
469	1448	1633
470	1451	1630
471	1454	1626
472	1457	1623
473	1460	1620
474	1463	1617
475	1466	1614
476	1469	1611
477	1472	1607
478	1475	1604
479	1477	1601
480	1480	1597
481	1484	1594
482	1487	1591
483	1490	1588
484	1493	1585
485	1496	1582
486	1499	1579
487	1502	1576
488	1505	1573
489	1508	1570
490	1511	1566
491	1514	1563
492	1517	1560
493	1520	1557
494	1523	1554
495	1526	1550
496	1529	1547
497	1532	1544
498	1535	1541
499	1538	1538
500	1541	1534
501	1544	1531
502	1546	1528
503	1549	1525
504	1552	1521
505	1555	1518
506	1558	1515
507	1561	1512
508	1565	1509
509	1568	1506
510	1571	1503
511	1574	1500
512	1577	1497
513	1580	1494
514	1583	1491
515	1586	1487
516	1589	1484
517	1592	1481
518	1595	1478
519	1598	1475
520	1601	1472
521	1604	1469
522	1607	1466
523	1610	1463
524	1613	1460
525	1616	1457
526	1619	1453
527	1622	1450
528	1626	1447
529	1629	1445
530	1632	1442
531	1636	1439
532	1639	1436
533	1642	1433
534	1645	1430
535	1648	1427
536	1651	1423
537	1654	1420
538	1657	1417
539	1660	1414
540	1663	1411
541	1666	1408
542	1669	1405
543	1672	1402
544	1675	1399
545	1679	1396
546	1682	1393
547	1685	1389
548	1688	1386
549	1691	1383
550	1694	1380
551	1696	1377
552	1699	1374
553	1703	1371
554	1706	1368
555	1709	1365
556	1712	1362
557	1715	1358
558	1718	1355
559	1721	1352
560	1724	1349
561	1727	1346
562	1730	1343
563	1733	1340
564	1736	1336
565	1739	1333
566	1742	1330
567	1745	1327
568	1748	1324
569	1751	1321
570	1754	1318
571	1757	1314
572	1760	1311
573	1763	1308
574	1766	1305
575	1769	1302
576	1772	1299
577	1775	1296
578	1778	1293
579	1781	1289
580	1784	1287
581	1787	1284
582	1790	1280
583	1793	1277
584	1796	1274
585	1799	1271
586	1802	1268
587	1805	1265
588	1809	1262
589	1812	1259
590	1815	1256
591	1818	1252
592	1820	1249
593	1824	1246
594	1827	1243
595	1830	1240
596	1833	1237
597	1836	1234
598	1838	1231
599	1841	1227
600	1844	1224
601	1847	1221
602	1850	1218
603	1853	1215
604	1857	1212
605	1860	1209
606	1863	1206
607	1866	1203
608	1868	1199
609	1871	1196
610	1874	1193
611	1877	1190
612	1880	1187
613	1883	1184
614	1886	1180
615	1889	1177
616	1892	1174
617	1895	1171
618	1898	1168
619	1901	1165
620	1904	1162
621	1907	1158
622	1910	1155
623	1913	1153
624	1916	1150
625	1919	1146
626	1923	1144
627	1926	1140
628	1928	1137
629	1931	1134
630	1934	1131
631	1937	1128
632	1940	1125
633	1943	1122
634	1946	1118
635	1949	1115
636	1952	1112
637	1955	1109
638	1958	1106
639	1961	1103
640	1964	1100
641	1967	1097
642	1970	1094
643	1973	1090
644	1976	1087
645	1979	1084
646	1982	1081
647	1985	1078
648	1988	1075
649	1991	1072
650	1994	1069
651	1997	1066
652	2001	1063
653	2003	1060
654	2006	1056
655	2009	1053
656	2013	1050
657	2016	1047
658	2019	1044
659	2022	1041
660	2025	1038
661	2030	1036
662	2033	1033
663	2036	1030
664	2039	1027
665	2043	1024
666	2046	1021
667	2049	1018
668	2052	1015
669	2055	1012
670	2059	1009
671	2062	1006
672	2065	1003
673	2068	1000
674	2071	997
675	2074	994
676	2076	990
677	2079	987
678	2082	984
679	2085	981
680	2088	978
681	2091	975
682	2094	972
683	2097	969
684	2100	966
685	2103	963
686	2106	959
687	2109	956
688	2112	953
689	2115	950
690	2118	947
691	2121	944
692	2124	941
693	2127	938
694	2130	935
695	2133	932
696	2136	928
697	2139	925
698	2142	922
699	2145	919
700	2148	916
701	2152	913
702	2155	910
703	2158	907
704	2161	904
705	2164	901
706	2167	898
707	2170	895
708	2173	892
709	2176	888
710	2179	885
711	2182	882
712	2185	879
713	2188	876
714	2191	873
715	2194	870
716	2197	867
717	2200	864
718	2203	861
719	2206	858
720	2209	855
721	2212	851
722	2215	848
723	2218	845
724	2221	842
725	2224	839
726	2227	836
727	2230	833
728	2233	830
729	2236	827
730	2239	824
731	2242	821
732	2245	818
733	2248	814
734	2252	811
735	2255	808
736	2258	805
737	2261	802
738	2264	799
739	2267	796
740	2270	793
741	2273	790
742	2276	787
743	2279	784
744	2282	781
745	2285	778
746	2288	775
747	2291	771
748	2294	768
749	2297	765
750	2300	762
751	2304	759
752	2308	757
753	2311	754
754	2315	751
755	2318	748
756	2321	745
757	2324	742
758	2327	738
759	2330	735
760	2333	732
761	2336	729
762	2339	726
763	2342	723
764	2345	720
765	2348	717
766	2351	714
767	2354	711
768	2357	708
769	2360	705
770	2363	702
771	2366	699
772	2369	695
773	2372	692
774	2375	689
775	2378	686
776	2382	683
777	2384	680
778	2388	677
779	2391	674
780	2394	671
781	2397	668
782	2400	665
783	2404	662
784	2407	659
785	2410	656
786	2415	653
787	2418	650
788	2422	647
789	2424	644
790	2428	641
791	2431	638
792	2434	635
793	2437	632
794	2440	629
795	2443	626
796	2446	623
797	2449	620
798	2452	616
799	2455	613
800	2458	610
801	2460	607
802	2463	604
803	2466	601
804	2469	598
805	2472	595
806	2475	592
807	2478	589
808	2481	585
809	2484	582
810	2487	579
811	2490	576
812	2493	573
813	2496	570
814	2500	567
815	2503	564
816	2506	561
817	2510	558
818	2513	555
819	2516	552
820	2519	549
821	2522	546
822	2525	543
823	2528	540
824	2532	537
825	2535	534
826	2538	531
827	2541	527
828	2544	524
829	2547	521
830	2551	518
831	2554	515
832	2558	512
833	2562	510
834	2565	507
835	2568	503
836	2571	500
837	2574	497
838	2577	494
839	2580	491
840	2584	488
841	2587	485
842	2590	482
843	2593	479
844	2596	476
845	2599	473
846	2602	470
847	2605	467
848	2608	463
849	2611	460
850	2614	457
851	2617	454
852	2620	451
853	2623	448
854	2627	445
855	2630	442
856	2633	439
857	2635	436
858	2638	433
859	2641	430
860	2644	426
861	2647	423
862	2651	420
863	2654	417
864	2657	414
865	2660	411
866	2663	408
867	2666	405
868	2669	402
869	2672	399
870	2675	396
871	2678	393
872	2681	390
873	2684	387
874	2687	383
875	2690	380
876	2694	377
877	2697	374
878	2699	371
879	2703	368
880	2706	365
881	2709	362
882	2712	359
883	2715	356
884	2717	353
885	2720	350
886	2723	346
887	2726	343
888	2729	340
889	2732	337
890	2735	334
891	2738	331
892	2741	328
893	2744	325
894	2747	322
895	2750	319
896	2752	316
897	2755	313
898	2758	309
899	2761	306
900	2764	303
901	2767	300
902	2770	297
903	2773	294
904	2776	291
905	2779	288
906	2782	285
907	2785	282
908	2788	279
909	2792	276
910	2794	273
911	2798	270
912	2801	266
913	2804	263
914	2807	260
915	2810	257
916	2813	254
917	2816	251
918	2819	248
919	2822	245
920	2825	242
921	2827	239
922	2830	236
923	2833	233
924	2837	230
925	2840	226
926	2843	223
927	2846	220
928	2849	217
929	2852	214
930	2854	211
931	2857	208
932	2860	205
933	2863	202
934	2866	199
935	2869	196
936	2872	193
937	2875	190
938	2878	187
939	2881	183
940	2884	180
941	2887	177
942	2891	174
943	2894	171
944	2897	168
945	2901	165
946	2904	162
947	2907	159
948	2910	156
949	2913	153
950	2916	150
951	2919	147
952	2922	144
953	2925	141
954	2928	137
955	2931	134
956	2934	131
957	2937	128
958	2940	125
959	2943	122
960	2946	119
961	2949	116
962	2952	113
963	2955	110
964	2958	107
965	2962	104
966	2965	101
967	2967	98
968	2971	95
969	2974	91
970	2976	88
971	2979	85
972	2982	82
973	2985	79
974	2988	76
975	2991	73
976	2994	70
977	2997	67
978	3000	64
979	3004	61
980	3007	58
981	3010	55
982	3013	52
983	3016	49
984	3019	45
985	3022	42
986	3025	39
987	3028	36
988	3031	33
989	3034	30
990	3037	27
991	3040	24
992	3043	21
993	3046	18
994	3049	15
995	3052	12
996	3055	9
997	3058	6
998	3061	3
999	3064	0
