iter	RMSE
0	0.3879498444
1	0.376697642
2	0.3665110905
3	0.3562483692
4	0.346649028
5	0.3370561617
6	0.3279760659
7	0.3189201383
8	0.3103954437
9	0.3023913616
10	0.2944455809
11	0.2872772289
12	0.2797199809
13	0.273475304
14	0.2668259751
15	0.2608302633
16	0.254983333
17	0.2492674967
18	0.2437906369
19	0.238947239
20	0.2337628654
21	0.2288580461
22	0.2241635732
23	0.219904185
24	0.2156336626
25	0.2117051113
26	0.2080663824
27	0.2043361156
28	0.2007714516
29	0.1975542238
30	0.194091425
31	0.1908044495
32	0.1877555963
33	0.184714377
34	0.1818576051
35	0.1792708234
36	0.1768225442
37	0.1744275797
38	0.1721193764
39	0.1698826699
40	0.1678199598
41	0.1657970233
42	0.1638456995
43	0.1621676661
44	0.1604939954
45	0.1588126604
46	0.156941679
47	0.1554579397
48	0.1539398932
49	0.1524865296
50	0.150964274
51	0.149508745
52	0.1483053541
53	0.1468368661
54	0.1454017815
55	0.1443752358
56	0.1431685804
57	0.1422063025
58	0.1410201992
59	0.1400989992
60	0.1391035681
61	0.1380217951
62	0.1369839666
63	0.1360304677
64	0.1351324152
65	0.1342104962
66	0.1332917432
67	0.132555097
68	0.1317605482
69	0.1310787669
70	0.1304120821
71	0.1295025527
72	0.1288381466
73	0.1281281826
74	0.1274701374
75	0.1267955658
76	0.1263230199
77	0.1259665589
78	0.1254537131
79	0.1248402847
80	0.1242217707
81	0.1237458667
82	0.1231067394
83	0.1226658832
84	0.1221014048
85	0.1214940346
86	0.1208536081
87	0.1202718755
88	0.1198583366
89	0.1194625292
90	0.1188055925
91	0.1183467088
92	0.1180330936
93	0.1175689131
94	0.1171190168
95	0.1167131111
96	0.1162248489
97	0.1157789848
98	0.1153060699
99	0.1149675485
100	0.1145456046
101	0.1142061346
102	0.1138389885
103	0.11345286
104	0.1131539966
105	0.1127431306
106	0.112344962
107	0.1119979778
108	0.1115697713
109	0.1111583657
110	0.1108139855
111	0.1104993298
112	0.1100869366
113	0.109972302
114	0.1096565912
115	0.1093530858
116	0.109130247
117	0.1087116263
118	0.1084776222
119	0.1082627508
120	0.1080323354
121	0.1078360052
122	0.1075921685
123	0.1073128807
124	0.1070155083
125	0.1067405178
126	0.1064520109
127	0.106269066
128	0.1059875435
129	0.1057863489
130	0.1055616034
131	0.105311621
132	0.105055409
133	0.1048309631
134	0.1045739838
135	0.1043326714
136	0.1040771888
137	0.1038360346
138	0.1035596975
139	0.1034537829
140	0.1032149695
141	0.1029943282
142	0.102788392
143	0.1025642876
144	0.1022861295
145	0.1021098248
146	0.101893536
147	0.1015145725
148	0.1012206918
149	0.1010551656
150	0.1007680154
151	0.1005058339
152	0.1003446482
153	0.1000715139
154	0.09991702939
155	0.09970645044
156	0.09954762257
157	0.09933428202
158	0.09913087707
159	0.09902379112
160	0.09882099757
161	0.09863334729
162	0.09844766164
163	0.09834315128
164	0.09818434893
165	0.09793642163
166	0.09782771444
167	0.09761612551
168	0.09734703603
169	0.09724224519
170	0.09704311547
171	0.09686632872
172	0.09660590062
173	0.09635356569
174	0.09619614813
175	0.09592279986
176	0.09575689912
177	0.09566359122
178	0.09543365346
179	0.09525394218
180	0.09507761911
181	0.09497100075
182	0.09483522508
183	0.09469082627
184	0.09456151424
185	0.09444718691
186	0.09428069207
187	0.09414845364
188	0.09403320395
189	0.09388209993
190	0.09377316103
191	0.09373165587
192	0.093680416
193	0.0934976421
194	0.09321388527
195	0.09290223663
196	0.09285995672
197	0.09281768621
198	0.09252410588
199	0.09232504148
200	0.09227410784
201	0.09215096143
202	0.0919341388
203	0.09169020024
204	0.09156723499
205	0.09142948103
206	0.09116891442
207	0.09111392431
208	0.09102652128
209	0.0909791464
210	0.09092867498
211	0.09079121217
212	0.0905980288
213	0.09038539311
214	0.09026501169
215	0.09009040768
216	0.08998471901
217	0.08980868098
218	0.08969282482
219	0.08951571147
220	0.08942352726
221	0.08935218084
222	0.08916065845
223	0.08910254891
224	0.08896402091
225	0.08887321708
226	0.08869226664
227	0.08857112362
228	0.08835000404
229	0.08815136209
230	0.08796644246
231	0.08780920983
232	0.08759625041
233	0.08751879808
234	0.08736574543
235	0.08731224814
236	0.08726367499
237	0.0871997843
238	0.08695472109
239	0.08675983856
240	0.08658586944
241	0.08646222557
242	0.0862566495
243	0.08620887717
244	0.08600079484
245	0.08597264164
246	0.08582225124
247	0.08569574705
248	0.08564256164
249	0.08547294552
250	0.08529090909
251	0.08510541988
252	0.08507229646
253	0.08503753833
254	0.08489543017
255	0.0847871457
256	0.08459151207
257	0.08450245631
258	0.08431090563
259	0.08413134511
260	0.08401947116
261	0.08386429721
262	0.08366815305
263	0.08348283787
264	0.08341848716
265	0.08333375103
266	0.08314124523
267	0.08309150594
268	0.08293032475
269	0.08287613897
270	0.08269883813
271	0.08257838034
272	0.082405278
273	0.08229673925
274	0.08211571575
275	0.08195578251
276	0.0817936663
277	0.08159335572
278	0.08146493168
279	0.08131770785
280	0.08117504224
281	0.081123022
282	0.08099328457
283	0.0808072581
284	0.08059342761
285	0.08042694922
286	0.0803862864
287	0.08028574499
288	0.08013229059
289	0.08003444654
290	0.07996292357
291	0.07976312134
292	0.07961181033
293	0.07942295476
294	0.07924934893
295	0.07909749636
296	0.07895377411
297	0.07883539344
298	0.07866015207
299	0.07849573737
300	0.07838251607
301	0.07820671587
302	0.07806619403
303	0.07802611297
304	0.07789054073
305	0.07777222776
306	0.0777399501
307	0.07761023826
308	0.07757585067
309	0.07748370408
310	0.077399308
311	0.07723070739
312	0.07703283303
313	0.07694809835
314	0.07677286813
315	0.07665026345
316	0.07649510971
317	0.07643614765
318	0.07632713914
319	0.07627299302
320	0.07621134619
321	0.07603949699
322	0.07591793543
323	0.0758471199
324	0.07575637671
325	0.07562339508
326	0.07560309875
327	0.07546572202
328	0.07544606615
329	0.07535706221
330	0.07519764208
331	0.0750833416
332	0.0750632864
333	0.07490669294
334	0.0747666292
335	0.07465835296
336	0.0746304694
337	0.07447523454
338	0.07437461958
339	0.07434222946
340	0.07418146478
341	0.07403350349
342	0.07380970575
343	0.07366310218
344	0.07350924284
345	0.07339693656
346	0.07321392233
347	0.07320247062
348	0.0730577663
349	0.07298113358
350	0.07287331132
351	0.07280510803
352	0.07273073865
353	0.0725887129
354	0.07246475976
355	0.07236931963
356	0.07228451575
357	0.07223041867
358	0.07215983959
359	0.07203143466
360	0.07187448814
361	0.07178595211
362	0.07163849672
363	0.07159274204
364	0.07153978915
365	0.07151375773
366	0.07137321691
367	0.07136031852
368	0.07121575403
369	0.0711262683
370	0.07095908705
371	0.07081790162
372	0.07071484503
373	0.07060087296
374	0.07049833352
375	0.07036675348
376	0.0703385511
377	0.07021978649
378	0.0701300339
379	0.06997727834
380	0.06988939671
381	0.0698330962
382	0.0697214721
383	0.06968613147
384	0.06956680186
385	0.06949081544
386	0.06932613599
387	0.06922092985
388	0.06908116231
389	0.06904434426
390	0.06893468424
391	0.06878035307
392	0.0686663045
393	0.06859015428
394	0.06845496521
395	0.06833909045
396	0.0682021352
397	0.06803759954
398	0.06802183364
399	0.06792792353
400	0.06777775725
401	0.06762316295
402	0.06748352556
403	0.06741174581
404	0.0673173906
405	0.06727793068
406	0.06718264581
407	0.06717648901
408	0.06710779174
409	0.06705588485
410	0.06702636445
411	0.06689501289
412	0.06676307667
413	0.06662272326
414	0.06651822105
415	0.06639296698
416	0.06635911553
417	0.06623902581
418	0.06617597228
419	0.06607455158
420	0.06597816855
421	0.06586827563
422	0.06578133592
423	0.06560710741
424	0.06546257386
425	0.06536839012
426	0.06525119201
427	0.065138742
428	0.06509550732
429	0.06506800316
430	0.06497780542
431	0.064833009
432	0.06473742901
433	0.06460786337
434	0.06452910095
435	0.06443543888
436	0.06430804345
437	0.06428212044
438	0.06416332284
439	0.06409549756
440	0.06402866136
441	0.06394187168
442	0.06378948501
443	0.06370231123
444	0.06361004386
445	0.06351747341
446	0.06350789351
447	0.0634176014
448	0.06332024687
449	0.06323497239
450	0.06319512056
451	0.0631129972
452	0.06303820871
453	0.06291804375
454	0.06282894321
455	0.06272762761
456	0.06264355173
457	0.06252996181
458	0.06245805886
459	0.06238005773
460	0.06225986736
461	0.06219894811
462	0.0620903129
463	0.06208277356
464	0.06200273064
465	0.0619863584
466	0.06184000327
467	0.06175256436
468	0.06164307438
469	0.06154372828
470	0.06149390221
471	0.06145390732
472	0.06136590194
473	0.06126119677
474	0.06114120907
475	0.06104940299
476	0.06104062085
477	0.06101256007
478	0.06094529043
479	0.06085838782
480	0.06073747779
481	0.06064401083
482	0.06053866992
483	0.06049640131
484	0.06037628468
485	0.06028044412
486	0.06016181002
487	0.0600798537
488	0.05994731833
489	0.05986648715
490	0.05983122553
491	0.05974555144
492	0.05965926137
493	0.05956327799
494	0.05953003571
495	0.05946498661
496	0.05935197518
497	0.05933156217
498	0.05926563922
499	0.05916076108
500	0.05910449374
501	0.05897791104
502	0.05886638116
503	0.05882510924
504	0.0587198905
505	0.05865316508
506	0.05854104415
507	0.05853079989
508	0.05838841555
509	0.0582891439
510	0.05818878482
511	0.05809376475
512	0.05798745942
513	0.05787832856
514	0.05777849649
515	0.05769682972
516	0.0576033492
517	0.05749807039
518	0.05741019356
519	0.05730254925
520	0.05727900936
521	0.05726859807
522	0.0571733804
523	0.05708541263
524	0.05699420822
525	0.05694112746
526	0.05691438232
527	0.05683914026
528	0.05672620847
529	0.05665347132
530	0.0566107756
531	0.05655604739
532	0.0565061472
533	0.05636519446
534	0.0562981835
535	0.05620113434
536	0.05615393578
537	0.05607875853
538	0.05599005162
539	0.05591228625
540	0.05578531373
541	0.05568218543
542	0.05559413905
543	0.05550069885
544	0.05539560617
545	0.0552799672
546	0.05520234965
547	0.05514483051
548	0.05508577567
549	0.05500723235
550	0.05490413853
551	0.05489397378
552	0.05479781447
553	0.05471171412
554	0.05462828305
555	0.05453349697
556	0.05445295565
557	0.05435102573
558	0.0543416874
559	0.05429244741
560	0.0542472848
561	0.05424310636
562	0.05416936218
563	0.05410942954
564	0.05404814319
565	0.05403923701
566	0.05398829288
567	0.05393122103
568	0.05385656058
569	0.05378169445
570	0.05372730441
571	0.05366261276
572	0.05362003521
573	0.05349557063
574	0.05343402399
575	0.0533723162
576	0.05330622913
577	0.05324943309
578	0.05320425049
579	0.05314083275
580	0.05303907699
581	0.05297454256
582	0.05289029776
583	0.05282888303
584	0.05282101939
585	0.05269835834
586	0.052626841
587	0.05257104614
588	0.05248297435
589	0.05243464587
590	0.05236927394
591	0.05229884773
592	0.05223508509
593	0.05218078956
594	0.05208525033
595	0.05199223207
596	0.05192699069
597	0.05183575903
598	0.0517779132
599	0.05173292612
600	0.05172589695
601	0.05164755962
602	0.05160897682
603	0.05153388434
604	0.05148537776
605	0.05144509749
606	0.05135936998
607	0.05129311766
608	0.0511940758
609	0.05118814817
610	0.05115359491
